date,predicted use [kW]
2014-12-01,30.610846615987946
2014-12-02,35.02972529647358
2014-12-03,19.348716798967622
2014-12-04,33.14046070164045
2014-12-05,26.003877286766574
2014-12-06,24.634572247399966
2014-12-07,25.678409606802028
2014-12-08,28.581672020812142
2014-12-09,21.717603587335937
2014-12-10,17.009464300435454
2014-12-11,16.604574583415932
2014-12-12,20.02576730212312
2014-12-13,24.30340959565695
2014-12-14,22.45282705576107
2014-12-15,27.140210521649855
2014-12-16,15.448356596591076
2014-12-17,23.192274866363817
2014-12-18,24.75640493924918
2014-12-19,25.23597260301944
2014-12-20,25.73155073816215
2014-12-21,15.299477814747924
2014-12-22,13.833256959952891
2014-12-23,15.819409750976028
2014-12-24,16.8231051369576
2014-12-25,29.622637828708392
2014-12-26,35.162041772129776
2014-12-27,26.621112437090225
2014-12-28,27.55676610711712
2014-12-29,31.227776931805657
2014-12-30,32.040872520198846
2014-12-31,27.34313313041735
